"A03.3"|"Definition"|"An acute bacterial infection of the lining of the intestines by Shigella sonnei (aka group D Shigella), Shigella flexneri (aka group B Shigella) or Shigella dysenteriae type 1, a deadly variant prevalent in developing countries"
"A04"|"Definition"|"Other bacterial infections not related to bacterial foodborne intoxications, tuberculosis enteritis or detailed in above codes."
"A04.0"|"Definition"|"Persistent diarrhea lasting 2 weeks or more secondary to infection by E. coli strains.  It spreads to humans through contact with contaminated water and/or infected animals, typically in developing countries."
"A06"|"Definition"|"An invasion of the intestinal wall by the protozoan parasite Entemoeba histolytica.  The disease is prevalent throughout the developing nations of the tropics, at times reaching a prevalence of 50% of the general population and is estimated to cause more than 100,000 deaths per year."
"A06.0"|"Definition"|"A symptomatic form of amoebiasis (E. histolytica infection) characterized by abdominal cramping, diarrhea, fatigue, excessive flatus, tenesmus, unintentional weight loss and, in more severe forms, bloody stools, abdominal tenderness, fever and vomiting. "
"A06.1"|"Definition"|"A symptomatic form of amoebiasis (E. histolytica infection) characterized by long-standing infection and severe diarrhea. "
"A08.0"|"Definition"|"Small bowel inflammation secondary to rotavirus infection resulting in abdominal pain, cramping, diarrhea, fever and dehydration"
"A15"|"Definition"|"Caused by Mycobacterium tuberculosis, repiratory TB spreads from person to person through the air and produces a cough with sputum, dyspnea and chest pain as well as evening fever, night sweats, weight loss, appetite loss, fatigue and muscle weakness"
"A15.5"|"Definition"|"A specific presentation of respiratory TB, localized to the upper respiratory tract (i.e. larynx, trachea and bronchii)"
"A17"|"Definition"|"A disease characterized by the establishment of scattered Mycobacterium tuberculous foci (tubercles) in the brain, meninges or adjacent bone during the bacillemia that follows primary infection or late reactivation TB elsewhere in the body."
"A18.2"|"Definition"|"(see code A18) A common form of extrapulmonary tuberculosis commonly involving cervical nodes."
"A33"|"Definition"|"A disease characterized by systemic muscle spasms arising in newborns who are delivered in unsanitary conditions and subsequently infected with Clostridium tetani."
"A35"|"Definition"|"aka ""lockjaw,"" a disease characterized by systemic muscle spasms arising from Clostridium tetani infection after contamination of an open wound by soil, saliva or feces"
"A36.2"|"Definition"|"(see code A36) diphtheria infection localized to the larynx"
"A51"|"Definition"|"A sexually transmitted Treponema pallidum infection characterized in the early stages by lymphadenopathy and the formation of a painless chancre at the point of entry."
"A51.2"|"Definition"|"(see code A51) primary syphilis of an area not detailed in codes (A51.0-A51.1)"
"A52.1"|"Definition"|"An early manifestation of tertiary syphilis characterized by chronic, insidious meningeal inflammation and subsequent cognitive and/or behavioral impairment, ataxia, stroke, ophthalmic symptoms, urinary symptoms, lightning pains, headache, dizziness, hearing loss and/or seizures."
"A52.7"|"Definition"|"Tertiary syphilis not detailed in codes A52.0-A52.3 (i.e. late benign [gummatous])"
"A59.0"|"Definition"|"A sexually transmitted Trichomonas vaginalis infection, usually causing symptoms in women including green or yellow discharge from the vagina, itching in or near the vagina and discomfort with urination."
