ORPHA|ORPHANAME|CONCEPTID|TITLE|SHORT DEFINITION
5|Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency|http://who.int/icd#3201_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency|"Long-chain 3-hydroxyacyl-CoA dehydrogenase (LCHAD) deficiency  is an autosomal recessive inherited condition, marked with hypotonia, hypoketotic hypoglycemia during long fast or infections usually associated with hypertrophic cardiomyopathy before the age of 2. Most patients later develop retinopathy and peripheral neuropathy. "
6|Isolated 3-methylcrotonyl-CoA carboxylase deficiency|http://who.int/icd#1441_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|3-methylcrotonylglycinuria|"Isolated 3-methylcrotonyl-CoA carboxylase (MCC) deficiency is an organic aciduria due to a disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. Most symptomatic patients have normal growth and development until presenting with an acute metabolic crisis between 2 and 33 months of age manifesting as vomiting, opisthotonus, involuntary movements, seizures, coma and apnoea, and that are often accompanied by severe hypoglycemia, ketoacidosis and mild hyperammonemia. "
10|"48,XXYY syndrome"|http://who.int/icd#33209_b047675b_e7d6_403d_8ca9_f59ab5570ff4|"Klinefelter syndrome with karyotype 48,XXYY"|"The 48,XXYY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of an extra X and Y chromosome in males, and  can be considered as a variant of Klinefelter syndrome as it shares the same clinical phenotype (tall stature, infertility, microorchidism, hypergonadotropic hypogonadism) but in addition includes behavioral problems (anxiety, aggressiveness, communication difficulties), psychiatric problems (hyperactivity, depression, etc.) and general minor language and learning troubles (reading difficulty, dyslexia). "
13|6-pyruvoyl-tetrahydropterin synthase deficiency|http://who.int/icd#5687_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|6-pyruvoyl-tetrahydropterin synthase deficiency|"6-pyruvoyl-tetrahydropterin synthase (PTPS) deficiency is one of the causes of malignant hyperphenylalaninemia due to tetrahydrobiopterin deficiency, as well as of defective neurotransmission of monoamines.  When left untreated, the deficiency causes neurological signs at age 4 or 5 months including psychomotor retardation, tonus disorders, convulsions, drowsiness, irritability, abnormal movements, hyperthermia, hypersalivation and difficulty swallowing. "
14|Abetalipoproteinemia|http://who.int/icd#6523_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Abetalipoproteinaemia|"Abetalipoproteinemia/homozygous familial hypobetalipoproteinemia (ABL/HoFHBL) is a severe form of familial hypobetalipoproteinemia (see this term) characterized by permanently low levels (below the 5th percentile) of apolipoprotein B and LDL cholesterol, and by growth delay, malabsorption, hepatomegaly, and neurological and neuromuscular manifestations. "
15|Achondroplasia|http://who.int/icd#Q77.4|Achondroplasia|"Achondroplasia is the most frequent form of chondrodysplasia and is a type of dwarfism is characterized by short limbs, hyperlordosis, short hands, and macrocephaly with high forehead and saddle nose, with normal intellectual development. "
16|Blue cone monochromatism|http://who.int/icd#15619_378b7cb7_5b17_422d_b68b_e793f5e48664|Blue cone monochromatism|"X-linked incomplete monochromatism is a hereditary bilateral retinopathy that is non-progressive, and spares rods and blue cones. It is characterized by slight, regular pendular nystagmus that decrease with age, along with a loss of visual acuity and defective color sight. "
17|Fatal infantile lactic acidosis with methylmalonic aciduria|http://who.int/icd#7183_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Fatal infantile lactic acidosis with methylmalonic aciduria|"Congenital lactic acidosis is defined by the presence of a metabolic acidosis due to the accumulation of lactic acid in blood. Congenital defects of anyone of the multiple enzymatic steps of pyruvate utilization (pyruvate translocase, pyruvate dehydrogenase, Krebs cycle enzymes, respiratory chain complexes etc.) induce accumulation of pyruvate and lactate, but usually to levels that do not provoke metabolic acidosis. Lactic acidosis is therefore an extreme situation, due either to very severe defects (of which it may be the presenting symptom), or to acute metabolic crisis associated with less severe defects (of which it represents a life-threatening complication). "
18|Distal renal tubular acidosis|http://who.int/icd#3982_07368d94_d861_421b_b2a0_264c49b96108|Distal type I renal tubular acidosis|"Distal renal tubular acidosis is characterized by an elevation in urinary pH despite the presence of serum acidosis. Complete distal tubular renal acidosis is responsible for delayed growth, plasma acidosis with hyperchloremia, hypokalemia, and hypercalciuria with nephrocalcinosis and hypocitruria. Deafness may be associated. "
19|2-hydroxyglutaric aciduria|http://who.int/icd#1078_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|2-hydroxyglutaric aciduria|"2-Hydroxyglutaric aciduria is a group of neurometabolic disorders with a wide clinical spectrum ranging from severe neonatal presentations to progressive forms, and asymptomatic cases, characterized biochemically by increased levels of 2-hydroxyglutaric acid in the plasma, cerebrospinal fluid and urine."
