ent.frame (Entity ID)	ent.slot (Property)	ent.short_value (Scale reference term ID)	Final Scale Top Class ID
http://who.int/icd#C22.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_360	http://who.int/icd#57069_735007d5_2555_4eb5_a762_282e008a1468
http://who.int/icd#18675_588c79f3_df65_43e0_903d_add110bf20de	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_448	http://who.int/icd#57069_735007d5_2555_4eb5_a762_282e008a1468
http://who.int/icd#I05.1	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_1	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2340_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_10	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2244_ea0b2e17_d398_4474_8ed0_c2b2ced85d96	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_1006	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F02.4	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_103	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I06.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_1042	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12870_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_1046	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12855_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_105	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#31581_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_11	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3412_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_110	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F51.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_1107	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#19487_fba2e671_3f12_4bbe_b446_34f816e9708a	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_112	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3429_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_117	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I35.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_119	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I05.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_12	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3616_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_124	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#153_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_125	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#4350_2494a080_32f2_4041_86cd_e358ae853fc5	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_126	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12900_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_130	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#F02.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_131	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I07.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_134	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12960_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_138	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12915_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_142	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2511_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_143	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I07.1	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_149	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2528_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_150	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12990_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_156	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2732_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_157	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I34.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_16	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12930_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_163	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3055_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_164	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#170_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_165	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I07.2	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_170	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#6390_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_171	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I37.0	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_177	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#2953_9974ef32_662d_44e8_a7d0_198f3038aef7	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_178	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#605_2985fd4a_87e8_4e76_ac83_2a5b74c14300	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_17966	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#6391_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_1805	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#13035_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_181	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#13125_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_185	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I37.1	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_189	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#13050_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_196	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#187_b89758b2_1812_439d_a5c5_2b03dca4dfa3	http://who.int/icd#hasSeverityScale	http://who.int/icd#PostcoordinationSeverityScaleTerm_197	http://who.int/icd#7553_6649f4ab_e2bf_447e_94a9_797fc66c1078
