"Code 1"	"Code 2"	"Code 3"	"Original Source"	"Original Code"	"English Title"	"Chinese Title"	"Japanese Title"	"Korean Title"	"English Definition"	"Chinese Definition"	"Japanese Definition"	"Korean Definition"	"Type"
"01"					"Diseases of Internal Medicine"								"D"
"01"	"01"		"KCDOM-3"	"U26"	"Diseases of the circulatory system"			"순환기계통의 질환"					"D"
"01"	"01"	100	"GB 97"	22.22	"Palpitation"	"心悸"			"It refers to abnormal heart beating with dysphoria. Palpitation can be either mild or severe. Mild palpitation is caused by fright and now occurs and then stops. Severe palpitation is not induced by any irritation and occurs irregularly. It can be seen in diseases of heart system, brain system and lung system as well as consumptive diseases and goiter."	"自觉心搏跳动异常，心慌不安的症状。心悸常分为惊悸、怔忡，因惊而悸谓之惊悸，时作时止，病情较轻；无所触动而悸谓之怔忡，发作无时，病情较重。心动悸以心悸为主要特征，心系、脑系疾病常见心悸，肺系疾病、虚劳类疾病、瘿气等病中亦常出现心悸。"			"D"
"01"	"01"	101	"KCDOM-3"	"U26.2"	"Fright palpitation"	"驚悸"		"경계"	"palpitation ascribed to being frightened"				"D"
"01"	"01"	102	"KCDOM-3"	"U26.3"	"Fearful throbbing"	"怔忡"		"정충"	"a severe case of palpitation"				"D"
"01"	"01"	110	"KCDOM-3 and GB 97"	"U26.0 and 5.6"	"Chest impediment (Chest Pain)"	"胸痹（心痛）"		"흉비"	"a disease characterized by paroxysms of pectoral pain, sometimes accompanied by a feeling of oppression"	"因胸阳不振，阴寒、痰浊留踞胸廓，或心气不足，鼓动乏力，使气血痹阻，心失血养所致。以胸闷及发作性心胸疼痛为主要表现的内脏痹病类疾病。"			"D"
"01"	"01"	"111"	"GB 97"	5.7	"Reversal [true] heart pain"	"厥［真］心痛"			"It is caused by obstruction of chest yang or insufficiency of qi and yin, or impediment of phlegm and blood stasis in the heart vessel. Clinical manifestations are persistent sharp pain in the chest, accompanied by cold limbs and sweating, white complexion and cyanotic lips, and faint pulse."	"因胸阳虚损，或气阴不足，或瘀痰阻痹，心脉闭塞所致。以心胸剧痛，甚至持续不解，伴有汗出肢冷、面白唇青、脉微欲绝为主要表现的痛病类疾病。"			"D"
"01"	"01"	112	"KCDOM-3"	"U26.1"	"Chest bind"	"結胸"		"결흉"	"a diseased state attributable to accumulation of pathogens (such as heat or cold in combination with retained fluid or phlegm or stagnant food) in the chest and abdomen, often manifested by local rigidity, fullness and tenderness, also the same as chest constriction"				"D"
"01"	"01"	"200"	"GB 97"	5.19	"Blood collapse"	"血脱"			"It is caused by sudden and massive loss of blood which leads to vacuity of the blood vessel and malnourishment of the whole body. Clinical manifestations are hemorrhage, pale complexion, faiting or hollow pulse, and significant decrease of blood pressure."	"因突然大量失血，以致血脉空虚，全身失却血液濡养，气血欲脱，以出血，面色苍白，脉微或芤，血压显著降低为主要表现的脱病类疾病。"			"D"
"01"	"01"	310	"GB 97"	22.43	"Edema"	"水肿"			"It refers to dropsy of the eyelids, head, face, abdomen, back and even the whole body. It can be divided into yang edema and yin edema according to its onset, duration and nature. It can be caused by the invasion of exogenous pathogenic factors, or interior injury due to overstrain, or improper diet, which lead to the dysfunction of qi in transformation and retention of water beneath the skin. It can be seen in wind edema, skin edema, stony edema, general edema, kidney edema, fluid retention, spleen edema, heart failure, menstrual edema, edema during pregnancy. All of the diseases with the manifestation of edema pertain to the category of edema disease."	"眼睑、头面、四肢、腹背或全身浮肿的症状。一般按病之新久缓急和邪正虚实而有阳水、阴水之分。外邪侵袭，或劳倦内伤，或饮食失调，使气化不利而水液潴留，泛滥肌肤则发为水肿。其常见疾病有风水、皮水、石水、正水、肾水、溢饮、脾水、心衰、经行浮肿、子肿等。凡以水肿为主要表现的疾病，可以归纳为水肿病类。"			"D"
"01"	"01"	"320"	"GB 97"	"5.20"	"Humor collapse"	"液脱"			"It is caused by excessive and sudden loss of the fluid which causes yin deficiency and collapsed pulse. Clinical manifestations are thirst, anuresis, dry skin, faint pulse and significant decrease of blood pressure."	"因津液大量急剧耗失，以致阴亏脉陷，气阴欲脱，以口渴无尿，肤燥脉微，血压显著降低为主要表现的脱病类疾病。"			"D"
"01"	"01"	400	"GB 97"	21.7	"Summer non-acclimatization"	"疰夏"			"It is caused by invasion of summer dampness which encumbers the spleen and stomach, or impairment of healthy qi by summer-heat that causes dysfunction of the spleen in transportation. Clinical manifestations are lassitude and somnolence in summer, low fever and poor appetite."	"因暑湿之气外侵，困阻脾胃，或暑热耗伤正气，脾失健运所致。以夏季倦怠嗜卧，低热，纳差为主要表现的时行热性病。"			"D"
"01"	"02"		"KCDOM-3"	"U27"	"Diseases of the respiratory system"			"호흡기계통의 질환"					"D"
"01"	"02"	100	"KCDOM-3"	"U27.0"	"Dyspnea"	"喘證"		"천증"	"difficult and labored breathing"				"D"
"01"	"02"	101	"KCDOM-3"	"U27.6"	"Shortness of breath"	"短氣"		"단기"	"rapid labored breathing"				"D"
"01"	"02"	110	"KCDOM-3"	"U27.1"	"Wheezing and dyspnea"	"哮喘"		"효천"	"a diseased state characterized by paroxysmal labored breathing accompanied by a whistling sound, such as in asthma"				"D"
"01"	"02"	"111"	"GB 97"	6.3	"Wheezing"	"哮病"			"It is usually caused by exogenous pathogenic factors, or improper diet and emotional changes, which induce hidden phlegmatic fluid in the lung, resulting in obstruction of phlegm and failure of the lung in dispersion and descending. Clinical manifestations are sudden onset of panting and wheezing in the throat."	"多因感受外邪，或饮食情志等失调，诱动内伏于肺的痰饮，痰气阻塞，使肺气不得宣降。以突然出现呼吸喘促，喉间哮鸣有声为主要表现的肺系发作性疾病。"			"D"
"01"	"02"	120	"GB 97"	22.18	"Cough"	"咳嗽"			"It refers to the symptom characterized by cough from the throat. It is usually caused by invasion of six exogenous pathogenic factors into the lung, irritation of poisonous air, retention of phlegm fluid in the lung, failure of the lung qi in dispersing and descending due to deficiency of qi and yin, resulting in counterflow of lung qi. Apart from lung cough, it also can be seen in the diseases of lung system, or diseases of other organs involving the lung."	"从肺经喉发出“咳、咳”有声的症状。多因六淫外邪袭肺、有害气体刺激、痰饮停肺、气阴亏虚等而致肺失清肃宣降，肺气上逆所致。除肺咳以咳嗽为主症外，几乎所有肺系疾病均可见到咳嗽，它脏疾病亦可影响到肺而伴见咳嗽。"			"D"
"01"	"02"	121	"KCDOM-3"	"U27.2"	"Cough with dyspnea"	"咳逆"		"해역"	"cough with counterflow of qi in the airways, also known as cough with qi reflux"				"D"
"01"	"02"	210	"GB 97"	21.1	"Common cold"	"感冒"			"It is mainly caused by invasion of pathogenic wind into the lung and body surface. Clinical manifestations are fever, chill, general pain, stuffy nose and sneezing, itching throat with cough."	"因风邪冒犯肺表所致。以发热恶寒，头身疼痛，鼻塞喷嚏，喉痒咳嗽等为主要表现的外感疾病。"			"D"
"01"	"02"	220	"GB 97"	3.6	"Influenza"	"时行感冒"			"It is caused by invasion of pestilent toxin into the lung-defense. Clinical manifestations are sudden onset of fever, sore and swollen throat, headache and body pain."	"时令疫疠之邪侵及肺卫所致，以急起发热，咽喉肿痛，头身疼痛为主要表现的疫病类疾病。"			"D"
"01"	"02"	310	"KCDOM-3"	"U27.3"	"Fatigue and consumption"	"勞瘵"		"노채"					"D"
"01"	"02"	"410"	"GB 97"	6.4	"Lung distension"	"肺胀"			"Occurring after lung cough and wheezing, it is usually caused by long-term obstruction of lung qi, prolonged expansion of the lung lobe, resulting in englarged chest cavity. "	"常继发于肺咳、哮病等之后，因肺气长期壅滞，肺叶恒久膨胀、不能敛降，而胀廓充胸。以胸中胀闷，咳嗽咯痰，气短而喘为主要表现的肺系疾病。"			"D"
"01"	"02"	510	"KCDOM-3"	"U27.4"	"Qi upward"	"上氣"		"상기"					"D"
"01"	"02"	520	"KCDOM-3"	"U27.5"	"Qi downward"	"下氣"		"하기"	"a therapeutic method of treating upward counterflow of qi in the lung and stomach manifested as cough, asthma, hiccupping or vomiting"				"D"
"01"	"02"	530	"KCDOM-3"	"U27.7"	"Shortage of qi"	"少氣"		"소기"	"weak or faint breathing, also known as shallow breathing"				"D"
"01"	"02"	610	"GB 97"	21.4	"Dampness obstruction"	"湿阻"				"因环境潮湿，湿邪侵及肺卫所致。以头身困重、酸楚，纳呆、脘痞等为主要表现的外感疾病。同义词：冒[伤]湿"			"D"
"01"	"03"		"KCDOM-3"	"U28"	"Diseases of the digestive system"			"소화기계통의 질환"					"D"
"01"	"03"	110	"KCDOM-3"	"U28.4"	"Cholera"	"藿亂"		"곽란"	"a disease characterized by sudden onset of simultaneous vomiting and diarrhea with the vomitus and stool like rice water, referring to acute gastroenteritis, food poisoning and cholera"				"D"
"01"	"03"	111	"GB95"	3.1	"（Pestilential）cholera"	"（时疫）霍乱"			"It is caused by contraction of pestilent summer-dampness due to unhygienic diet, which injures the stomach and bowels, resulting in the disturbance of ascending and descending, as well as mutual influence of clear and turbidity. Clinical manifestations are sudden onset of vomitus and loose stool similar to rice water, sunken orbit, spasm of calf, exhaustion of fluids and even death due to syncope and prostration. It is a severely contagious disease."	"因饮食不洁、感受疫疠之邪，损伤胃肠，升降失司，清浊相干。以骤起剧烈吐泻米泔水样物，目眶凹陷，小腿转筋，津气严重耗损，甚至因厥脱而毙为特点的烈性疫病类疾病。"			"D"
"01"	"03"	120	"KCDOM-3"	"U28.9"	"Intestinal toxin"	"腸毒"		"장독"					"D"
"01"	"03"	130	"KCDOM-3 and GB 97"	"U20.6 and 3.14"	"Dysentery"	"痢疾"		"주하"	"a disease characterized by abdominal pain, tenesmus, diarrhea with stool containing mucus and blood"	"因疫毒积滞肠间，阻遏气机，损伤肠络所致。以腹痛腹泻，里急后重,大便下脓血为主要表现的疫病类疾病。"			"D"
