iceciCode	Parent(s)	Title	baseExclusion	baseInclusion	relevantEntity
CORE_MODULE	ICECI	CORE MODULE			
OCCUPATIONAL_MODULE	ICECI	OCCUPATIONAL MODULE			
PLACE_MODULE	ICECI	PLACE MODULE			
SPORTS_MODULE	ICECI	SPORTS MODULE			
TRANSPORT_MODULE	ICECI	TRANSPORT MODULE			
VIOLENCE_MODULE	ICECI	VIOLENCE MODULE			
C.1	CORE_MODULE	INTENT			
C.1.1	C.1	Unintentional		accidental injury event	
C.1.2	C.1	Intentional self-harm		self-mutilation,parasuicide (incomplete suicide attempt),suicide	[V.2,V.1]
C.1.3	C.1	Assault	[C.1.4.1,C.1.4.2]		[V.3,V.5,V.4]
C.1.4	C.1	Other violence			
C.1.4.1	C.1.4	Legal intervention	[C.1.3]		
C.1.4.2	C.1.4	Operations of war or civil conflict			
C.1.5	C.1	undetermined intent after inquiry			
C.1.6	C.1	Complications of medical or surgical care			
C.1.8	C.1	Other specified intent			
C.1.9	C.1	Unspecified intent			
C.2	CORE_MODULE	MECHANISM OF INJURY-FULL VERSION			
C.2.1	C.2	Blunt force			
C.2.1.1	C.2.1	Transport injury event			
C.2.1.1.1	C.2.1.1	transport injury event as a vehicle occupant			
C.2.1.1.2	C.2.1.1	transport injury event as a pedestrian			
C.2.1.1.3	C.2.1.1	transport injury event as a pedal cyclist			
C.2.1.1.4	C.2.1.1	transport injury event as a motorcyclist/ motorcycle rider			
C.2.1.1.8	C.2.1.1	Other specified transport injury event			
C.2.1.1.9	C.2.1.1	Unspecified transport injury event	[C.2.1.1.8]		
C.2.1.2	C.2.1	Contact with object or animal	[C.2.2.1.2,C.2.3.2,C.2.1.4.1]		
C.2.1.2.1	C.2.1.2	Contact with moving object	[C.2.1.2.4,C.2.2.2.3,C.2.1.6,C.2.2.2.2]		
C.2.1.2.2	C.2.1.2	Contact with static object	[C.2.1.5.3]		
C.2.1.2.3	C.2.1.2	Struck by thrown or falling object	[C.2.2.2.3,C.2.4.1.3,C.2.1.6,C.2.2.2.2]		
C.2.1.2.4	C.2.1.2	Struck by moving object before which person moved/was moved	[C.2.1.2.3,C.2.2.2.2,C.2.1.2.1,C.2.2.2.3,C.2.1.1]		
C.2.1.2.5	C.2.1.2	Contact with animal: non-piercing or non-penetrating	[C.2.2.1.2]		
C.2.1.2.8	C.2.1.2	Other specified contact with object or animal			
C.2.1.2.9	C.2.1.2	Unspecified contact with object or animal			
C.2.1.3	C.2.1	Contact with person	[C.2.1.4.2]		
C.2.1.3.1	C.2.1.3	Struck or kicked by a person	[C.2.1.2.3,C.2.2.1.1,C.2.1.2.5]		
C.2.1.3.2	C.2.1.3	Sexual assault by bodily force	[C.2.98.1.2]		
C.2.1.3.8	C.2.1.3	Other specified contact with a person	[C.2.1.5.3]		
C.2.1.3.9	C.2.1.3	Unspecified contact with a person			
C.2.1.4	C.2.1	Crushing	[C.2.3.2]		
C.2.1.4.1	C.2.1.4	Pinching, crushing between objects	[C.2.1.2.3]		
C.2.1.4.2	C.2.1.4	Crushing between persons			
C.2.1.4.8	C.2.1.4	Other specified crushing			
C.2.1.4.9	C.2.1.4	Unspecified crushing			
C.2.1.5	C.2.1	Falling, stumbling, jumping, pushed			
C.2.1.5.1	C.2.1.5	Falling/stumbling by tripping on same level	[C.2.1.5.3]		
C.2.1.5.2	C.2.1.5	Falling/stumbling by slipping on same level	[C.2.1.5.3]		
C.2.1.5.3	C.2.1.5	Other falling/stumbling/jumping/pushed on the same level	[C.2.1.4.2]		
C.2.1.5.4	C.2.1.5	Falling/stumbling/jumping/pushed from a height less than 1 metre			
C.2.1.5.5	C.2.1.5	Falling/stumbling/jumping/pushed from a height 1 metre or more	[C.2.1.2.3]		
C.2.1.5.6	C.2.1.5	Falling/stumbling/jumping/pushed from an unspecified height			
C.2.1.5.7	C.2.1.5	Falling/stumbling/jumping/pushed on stairs/steps	[C.2.1.5.5]		
C.2.1.5.8	C.2.1.5	Other specified falling/stumbling/jumping/pushed	[C.2.1.2.3]		
C.2.1.5.9	C.2.1.5	Unspecified falling/stumbling/jumping/pushed			
C.2.1.6	C.2.1	Abrading, rubbing	[C.2.3.2]		
C.2.1.8	C.2.1	Other specified contact with blunt force			
C.2.1.9	C.2.1	Unspecified contact with blunt force			
C.2.2	C.2	Piercing/penetrating force			
C.2.2.1	C.2.2	Scratching, cutting, tearing, severing	[C.2.3.1,C.2.2.2.3,C.2.2.2.4,C.2.2.2.2]		
C.2.2.1.1	C.2.2.1	Scratched or clawed by a person	[C.2.2.3.1]		
C.2.2.1.2	C.2.2.1	Scratched or clawed by an animal			
C.2.2.1.3	C.2.2.1	Cut, slice, slash	[C.2.2.2.1,C.2.2.1.1,C.2.2.1.2,C.2.2.3.1,C.2.3.2]		
C.2.2.1.4	C.2.2.1	Tear, rip, saw	[C.2.7.1,C.2.3.2]		
C.2.2.1.5	C.2.2.1	Sever, hack off			
C.2.2.2	C.2.2	Puncturing, stabbing	[C.2.3.1]		
C.2.2.2.1	C.2.2.2	Stabbed	[C.2.2.2.2]		
C.2.2.2.2	C.2.2.2	Shot by firearm	[C.2.2.2.4,C.2.2.2.3]		
C.2.2.2.3	C.2.2.2	Shot by BB or pellet gun			
C.2.2.2.4	C.2.2.2	Shot by other weapon			
C.2.2.2.8	C.2.2.2	Other specified puncturing	[C.2.2.2.2]		
C.2.2.2.9	C.2.2.2	Unspecified puncturing			
C.2.2.3	C.2.2	Biting, stinging, invenomating			
C.2.2.3.1	C.2.2.3	Bitten by person			
C.2.2.3.2	C.2.2.3	Bitten by non-venomous animal			
C.2.2.3.3	C.2.2.3	Bitten by venomous animal			
C.2.2.3.4	C.2.2.3	Bitten or stung by non-venomous insect or other invertebrate			
C.2.2.3.5	C.2.2.3	Bitten or stung by venomous insect or other invertebrate			
C.2.2.3.8	C.2.2.3	Other specified biting, stinging, invenomating			
C.2.2.3.9	C.2.2.3	Unspecified biting, stinging, invenomating			
C.2.2.8	C.2.2	other specified piercing/penetrating force			
C.2.2.9	C.2.2	unspecified piercing/penetrating force			
C.2.20	C.2	Complications of health care			
C.2.20.1	C.2.20	Adverse effects related to drugs, medicaments, or biological substances			
C.2.20.1.1	C.2.20.1	Adverse effects in the therapeutic use of drugs, medicaments, or biological substances during surgical/medical care			
C.2.20.1.2	C.2.20.1	Adverse effects from contaminated medical or biological substances			
C.2.20.1.3	C.2.20.1	Failure in dosage of drugs, medicaments, or biological substances during surgical/medical care			
C.2.20.1.8	C.2.20.1	Other specified adverse effects related to drugs, medicaments, or biological substances			
C.2.20.1.9	C.2.20.1	Unspecified adverse effects related to drugs, medicaments, or biological substances			
C.2.20.2	C.2.20	Foreign object left in body during surgical/medical care			
C.2.20.2.0	C.2.20.2	Foreign object left in body during surgical operation			
C.2.20.2.1	C.2.20.2	Foreign object left in body during infusion or transfusion			
C.2.20.2.2	C.2.20.2	Foreign object left in body during kidney dialysis or other perfusion			
C.2.20.2.3	C.2.20.2	Foreign object left in body during injection or immunization			
C.2.20.2.4	C.2.20.2	Foreign object left in body during endoscopic examination			
C.2.20.2.5	C.2.20.2	Foreign object left in body during heart catheterization			
C.2.20.2.6	C.2.20.2	Foreign object left in body during aspiration, puncture, or other catheterization			
C.2.20.2.7	C.2.20.2	Foreign object left in body during removal of catheter or packing			
C.2.20.2.8	C.2.20.2	Foreign object left in body during other specified surgical/medical care			
C.2.20.2.9	C.2.20.2	Foreign object left in body during unspecified surgical/medical care			
C.2.20.3	C.2.20	adverse incidents associated with medical devices in diagnostic/therapeutic use			
C.2.20.4	C.2.20	Unintentional cut, puncture, perforation during surgical/medical care			
C.2.20.4.0	C.2.20.4	Unintentional cut, puncture, perforation during surgical operation			
C.2.20.4.1	C.2.20.4	Unintentional cut, puncture, perforation during infusion or transfusion			
C.2.20.4.2	C.2.20.4	Unintentional cut, puncture, perforation during kidney dialysis or other perfusion			
C.2.20.4.3	C.2.20.4	Unintentional cut, puncture, perforation during injection or immunization			
C.2.20.4.4	C.2.20.4	Unintentional cut, puncture, perforation during endoscopic examination			
C.2.20.4.5	C.2.20.4	Unintentional cut, puncture, perforation during heart catheterization			
C.2.20.4.6	C.2.20.4	Unintentional cut, puncture, perforation during aspiration, puncture, or other catheterization			
C.2.20.4.7	C.2.20.4	Unintentional cut, puncture, perforation during administration of enema			
C.2.20.4.8	C.2.20.4	Unintentional cut, puncture, perforation during other specified surgical/medical care			
C.2.20.4.9	C.2.20.4	Unintentional cut, puncture, perforation during unspecified surgical/medical care			
C.2.20.5	C.2.20	Failure of sterile precautions during surgical/medical care			
C.2.20.5.1	C.2.20.5	Failure of sterile precautions during surgical operation			
C.2.20.5.2	C.2.20.5	Failure of sterile precautions during infusion or transfusion			
C.2.20.5.3	C.2.20.5	Failure of sterile precautions during kidney dialysis or other perfusion			
C.2.20.5.4	C.2.20.5	Failure of sterile precautions during injection or immunization			
C.2.20.5.5	C.2.20.5	Failure of sterile precautions during endoscopic examination			
