ent.frame (Entity ID)	ent.slot (Property)	ent.short_value (Scale reference term ID)	Scale Top Class ID
http://who.int/icd#3557_1c662c6b_68f9_42a4_b7d3_90798bfc2caa	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#N18	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_10	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K31.2	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_100	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1562_2985fd4a_87e8_4e76_ac83_2a5b74c14300	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1005	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3641_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1008	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K75.0	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1011	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K62	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1018	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#I06.1	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_102	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#60_2780462e_2372_4ebc_a671_bf8ffd1008f6	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1029	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#444_599a597b_6a33_44a6_bf97_915e75834e46	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_103	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#18766_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1032	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#18777_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1035	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#18788_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1038	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#3840_378b7cb7_5b17_422d_b68b_e793f5e48664	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_104	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#18799_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1041	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K62.3	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1047	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K62.6	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1050	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#10455_85f9e494_34d2_4e3f_b182_f005b6f4e5a4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1053	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#690_d4765700_5765_4591_9aab_337c39ce9c2a	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1056	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K61	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1059	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K61.0	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1062	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K61.2	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1065	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K61.4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1068	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#253_99aed0e6_3707_4241_bb2b_12b1df36e984	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_107	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K63.0	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1071	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#24486_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1074	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#24497_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1077	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#24508_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1080	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#979_99aed0e6_3707_4241_bb2b_12b1df36e984	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1083	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K59.4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1086	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1408_2985fd4a_87e8_4e76_ac83_2a5b74c14300	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1089	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12855_ce88e999_ba9e_41b4_8d8a_b63046b652da	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_109	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#7650_2494a080_32f2_4041_86cd_e358ae853fc5	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1092	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#180_890e173e_8bc7_44a1_9345_a738531fdd8e	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1095	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K74	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1098	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K91.1	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_110	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K74.0	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1101	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1171_8dbbfe31_3300_4445_9631_8b93b580e63c	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1104	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#4169_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1107	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#5302_b047675b_e7d6_403d_8ca9_f59ab5570ff4	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1113	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K70	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1116	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K70.0	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1119	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K70.1	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1122	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#5654_07368d94_d861_421b_b2a0_264c49b96108	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1125	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K70.2	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1128	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K70.3	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1131	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#K71	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1134	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#12342_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_114	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
http://who.int/icd#1177_99aed0e6_3707_4241_bb2b_12b1df36e984	http://who.int/icd#hasCourseScale	http://who.int/icd#PostcoordinationCourseScaleTerm_1140	http://who.int/icd#7473_6649f4ab_e2bf_447e_94a9_797fc66c1078
